Приложение 3. Часть 1;;;;;;;;;;;;;;;;;;;;;;;Приложение 3. Часть 2;;;;;;;;;;;;;;;;;;
Сводная таблица результатов лабораторных;;;;;;;;;;;;;;;;;;;;;;;исследований физико-механических свойств грунтов;;;;;;;;;;;;;;;;;;
№ образца;№ г/в;ИГЭ №;Интервал отбора образца, м (по глубине);;Гранулометрический состав,% (диаметр частиц в мм);;;;;;;;;;;Плотность, г/см^3;;;;Природная влажность, д.е.;Влажность на границах, д.е.;;Коэф. фильтрации, м/сутки;;;Содержание карбонатов, %;Коэффициент выветрелости, д.е.;Коэффициент истираемости, д.е.;Степень растворимости в воде, г/л;Степень засолености (кол-во воднорастворимых солей), %;Относительное содержание органического вещества, д.е.;Степень разложения (торфы), %;Степень зольности (торфы), д.е.;Водопоглощение, д.е.;Предел прочности на одноосное сжатие, МПа;;;Угол естественного откоса, ^о;;Номенклатурный вид грунта (ГОСТ 25100);Примечание
;;;;;Галька (щебень);Гравий (дресва);;Песчаные;;;;;Пылева-тые;;Глинистые;Плотность грунта;Плотность частиц грунта;Плотность грунта в макс. рыхл. сост;Плотность грунта в макс. плот. сост.;;Раскатывания;Текучести;Грунта естественного сложения;Рыхлого грунта;Уплотненного грунта;;;;;;;;;;Природной влажности;В воздушно-сухом состоянии;В водонасыщенном состоянии;В воздушно-сухом состоянии;Под водой;;
;;;;;>10;43595,00;43501,00;43467,00;1-0.5;0.5-0.25;0.25-0.1;0.1-0.05;0.05-0.01;0.01-0.005;<0.005;;;;;;;;;;;;;;;;;;;;;;;;;;
59406,00;2,00;7,00;28,80;29,00;0,00;5,00;0,20;0,20;2,60;15,20;68,70;(;(;(;13,10;-;2,66;-;-;0,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
59407,00;3,00;2,00;0,80;1,00;-;-;-;-;-;-;-;-;-;-;-;1,87;2,74;-;-;0,20;0,20;0,41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Глина легкая полутвердая;
59408,00;3,00;4,00;2,80;3,00;-;6,00;-;-;-;-;-;-;-;-;-;2,04;2,72;-;-;0,14;0,13;0,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок легкий полутвердый;
59409,00;3,00;4,00;4,80;5,00;-;5,00;-;-;-;-;-;-;-;-;-;2,00;2,72;-;-;0,14;0,15;0,29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок тяжелый твердый;
59411,00;3,00;6,00;8,80;9,00;0,00;6,00;0,00;0,10;3,10;34,70;52,40;(;(;(;9,70;-;2,66;1,48;-;0,04;-;-;-;9,53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
59413,00;3,00;7,00;12,80;13,00;0,00;56,00;0,00;0,00;0,10;4,80;40,20;(;(;(;54,90;-;2,67;-;-;0,21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый неоднородный;
59415,00;3,00;7,00;16,80;17,00;0,00;5,00;0,20;0,10;0,10;1,50;26,40;(;(;(;71,70;-;2,68;-;-;0,29;0,19;0,23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Супесь песчанистая текучая;
59417,00;3,00;7,00;20,80;21,00;0,00;4,00;0,70;0,80;1,20;16,20;55,70;(;(;(;25,40;-;2,68;1,30;-;0,25;0,16;0,21;-;1,14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Супесь песчанистая текучая;
59419,00;3,00;6,00;24,80;25,00;0,00;5,00;0,40;0,40;4,00;24,00;54,90;(;(;(;16,30;-;2,66;-;-;0,23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий неоднородный;
59421,00;3,00;6,00;28,80;29,00;0,00;4,00;0,30;0,50;3,50;22,40;55,90;(;(;(;16,80;-;2,66;-;-;0,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий неоднородный;
59422,00;5,00;2,00;0,80;1,00;-;58,00;-;-;-;-;-;-;-;-;-;2,09;2,72;-;-;0,16;0,14;0,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок тяжелый полутвердый среднедеформируемый;
59423,00;5,00;5,00;2,80;3,00;-;12,00;-;-;-;-;-;-;-;-;-;1,92;2,72;-;-;0,17;0,13;0,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок тяжелый тугопластичный;
59424,00;5,00;5,00;4,80;5,00;-;454,00;-;-;-;-;-;-;-;-;-;1,95;2,71;-;-;0,16;0,12;0,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок легкий тугопластичный среднедеформируемый;
59437,00;6,00;2,00;0,80;1,00;-;5,00;-;-;-;-;-;-;-;-;-;2,14;2,71;-;-;0,15;0,12;0,23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок легкий полутвердый;
59439,00;6,00;5,00;4,80;5,00;-;84,00;-;-;-;-;-;-;-;-;-;1,91;2,72;-;-;0,17;0,12;0,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок тяжелый тугопластичный;
59456,00;10,00;7,00;8,80;9,00;0,00;98,00;0,60;0,20;0,50;13,90;49,80;(;(;(;35,00;-;2,66;-;-;0,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый неоднородный;
59471,00;12,00;7,00;8,80;9,00;0,00;4,00;0,30;0,10;0,20;1,20;66,10;(;(;(;32,10;-;2,66;-;-;0,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый неоднородный;
58293,00;14,00;5,00;2,80;3,00;-;54,00;-;-;-;-;-;-;-;-;-;2,02;2,70;-;-;0,20;0,17;0,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Супесь пластичная среднедеформируемый;
58294,00;14,00;5,00;4,80;5,00;-;-;-;-;-;-;-;-;-;-;-;-;2,72;-;-;0,20;0,13;0,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок тяжелый мягкопластичный;
58297,00;14,00;7,00;10,80;11,00;0,00;54,00;0,10;0,30;3,50;8,90;46,80;(;(;(;40,40;-;2,66;1,42;1,61;0,04;-;-;-;1,30;0,68;-;-;-;-;-;-;-;-;-;-;-;-;32,00;29,00;Песок пылеватый неоднородный;
58503,00;15,00;1,00;0,80;1,00;-;54,00;-;-;-;-;-;-;-;-;-;1,87;2,72;-;-;0,18;0,17;0,31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок тяжелый полутвердый;
58504,00;15,00;5,00;2,80;3,00;-;8,00;-;-;-;-;-;-;-;-;-;1,95;2,68;-;-;0,20;0,18;0,23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Супесь пластичная;
58506,00;15,00;6,00;6,80;7,00;0,00;22,00;0,90;0,50;0,70;24,40;55,90;(;(;(;16,70;1,78;2,66;-;-;0,09;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий средней плотности неоднородный малой степени водонасыщения;
58510,00;15,00;7,00;14,80;15,00;0,00;0,00;5,00;0,00;0,20;10,30;49,40;(;(;(;40,10;-;2,66;-;-;0,19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый неоднородный;
58514,00;15,00;6,00;22,80;23,00;0,00;0,00;5,00;0,70;4,40;22,90;45,60;(;(;(;26,10;-;2,66;-;-;0,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый неоднородный;
58518,00;20,00;2,00;0,80;1,00;-;-;4,00;-;-;-;-;-;-;-;-;2,11;2,72;-;-;0,14;0,12;0,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок тяжелый полутвердый среднедеформируемый;
58519,00;20,00;5,00;2,80;3,00;-;-;5,00;-;-;-;-;-;-;-;-;2,03;2,70;-;-;0,16;0,14;0,21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Супесь пластичная среднедеформируемый;
58520,00;20,00;5,00;4,80;5,00;-;-;4,00;-;-;-;-;-;-;-;-;1,89;2,71;-;-;0,18;0,14;0,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок тяжелый тугопластичный;
58534,00;21,00;4,00;2,80;3,00;-;-;5,00;-;-;-;-;-;-;-;-;1,93;2,70;-;-;0,19;0,16;0,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок легкий тугопластичный среднедеформируемый;
58535,00;21,00;5,00;4,80;5,00;-;-;4,00;-;-;-;-;-;-;-;-;1,99;2,72;-;-;0,16;0,12;0,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок тяжелый тугопластичный;
58539,00;21,00;6,00;12,80;13,00;0,00;0,00;0,00;0,20;0,90;31,70;48,10;(;(;(;19,10;-;2,66;-;-;0,05;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий неоднородный;
58543,00;21,00;7,00;20,80;21,00;0,00;0,00;5,00;0,10;0,10;4,50;42,20;(;(;(;52,90;-;2,67;-;-;0,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый однородный;
58545,00;21,00;6,00;24,80;25,00;0,00;0,00;5,00;0,50;8,40;38,50;32,80;(;(;(;19,70;-;2,66;-;-;0,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий неоднородный;
58547,00;21,00;6,00;28,80;29,00;0,00;0,20;5,00;0,20;1,00;5,80;69,10;(;(;(;23,60;-;2,66;-;-;0,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
59497,00;27,00;2,00;0,80;1,00;-;-;4,00;-;-;-;-;-;-;-;-;2,16;2,71;-;-;0,13;0,11;0,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок легкий полутвердый среднедеформируемый;
58223,00;30,00;6,00;8,00;8,20;0,00;0,00;5,00;0,40;0,40;1,40;83,30;(;(;(;13,70;-;2,66;1,53;1,69;0,17;-;-;-;3,89;1,95;-;-;-;-;-;-;-;-;-;-;-;-;32,00;30,00;Песок мелкий однородный;
58224,00;30,00;7,00;10,00;10,20;0,00;0,00;4,00;0,10;0,60;3,00;37,20;(;(;(;59,10;-;2,67;-;-;0,04;-;-;-;-;-;0,00;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый неоднородный;
58226,00;30,00;6,00;13,80;14,00;0,00;0,00;0,00;0,20;6,30;29,10;59,40;(;(;(;5,00;-;2,66;1,53;1,69;0,03;-;-;-;9,41;5,81;0,00;-;-;-;-;-;-;-;-;-;-;-;31,00;27,00;пес;
58228,00;30,00;6,00;17,80;18,00;0,00;0,00;0,50;0,10;0,20;48,80;31,90;(;(;(;18,50;-;2,66;-;-;0,15;-;-;-;-;-;0,00;-;-;-;-;-;-;-;-;-;-;-;-;-;ло;
58231,00;30,00;7,00;23,80;24,00;-;-;-;-;-;-;-;-;-;-;-;1,93;2,68;-;-;0,23;0,19;0,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;ол;
58233,00;30,00;6,00;28,80;29,00;0,00;0,00;0,20;0,90;10,60;39,10;34,40;(;(;(;14,80;-;2,66;-;-;0,21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок средней крупностинеоднородный;
58307,00;34,00;2,00;0,80;1,00;-;-;-;-;-;-;-;-;-;-;-;1,99;2,72;-;-;0,24;0,20;0,37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;ло;
58308,00;34,00;2,00;2,80;3,00;-;-;-;-;-;-;-;-;-;-;-;2,01;2,72;-;-;0,20;0,16;0,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;оо;
58309,00;34,00;5,00;4,80;5,00;-;-;-;-;-;-;-;-;-;-;-;2,00;2,71;-;-;0,20;0,18;0,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;нн;
58310,00;34,00;5,00;6,80;7,00;-;-;-;-;-;-;-;-;-;-;-;2,05;2,71;-;-;0,13;0,11;0,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;аа;
58311,00;34,00;6,00;8,80;9,00;0,00;0,00;0,00;0,00;0,00;7,90;82,10;(;(;(;10,00;-;2,66;-;-;0,03;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;xx;
58313,00;34,00;7,00;12,80;13,00;0,00;0,00;0,00;0,10;0,30;1,40;31,60;(;(;(;66,60;-;2,67;-;-;0,14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;xxx;
58314,00;34,00;6,00;14,80;15,00;0,00;0,00;0,10;0,10;0,40;19,80;66,50;(;(;(;13,10;-;2,66;-;-;0,19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;xxxxx;
58316,00;34,00;7,00;18,80;19,00;-;-;-;-;-;-;-;-;-;-;-;1,93;2,71;-;-;0,31;0,18;0,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;xxxf;
58318,00;34,00;6,00;22,80;23,00;0,00;0,00;0,10;0,20;1,40;11,70;72,70;(;(;(;13,90;-;2,66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;вачавяч;
58321,00;34,00;6,00;28,80;29,00;0,00;0,00;0,40;0,20;1,10;7,50;74,10;(;(;(;16,70;-;2,66;-;-;0,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;вачавяч;
58249,00;35,00;4,00;1,80;2,00;-;-;-;-;-;-;-;-;-;-;-;2,08;2,72;-;-;0,15;0,14;0,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;яя;
58250,00;35,00;4,00;3,60;3,80;-;-;-;-;-;-;-;-;-;-;-;2,04;2,71;-;-;0,17;0,16;0,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;ссс;
58251,00;35,00;6,00;5,80;6,00;0,00;0,80;0,90;0,20;0,40;28,80;60,60;(;(;(;8,30;-;2,66;1,48;1,71;0,05;-;-;-;5,63;2,92;0,00;-;-;-;-;-;-;-;-;-;-;-;33,00;30,00;Песок мелкий однородный;
58253,00;35,00;6,00;9,80;10,00;0,00;0,00;0,00;0,10;3,00;13,10;64,60;(;(;(;19,20;-;2,66;-;-;0,03;-;-;-;-;-;0,00;-;-;-;-;-;-;-;-;-;-;-;-;-;сссс;
58255,00;35,00;6,00;13,80;14,00;0,00;0,00;0,20;0,30;0,20;38,60;50,40;(;(;(;10,30;-;2,66;-;-;0,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;ссс;
58259,00;35,00;7,00;21,80;22,00;-;-;-;-;-;-;-;-;-;-;-;-;2,68;-;-;0,23;0,14;0,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;яяяя;
58262,00;35,00;6,00;28,80;29,00;0,00;0,00;0,30;0,10;1,20;8,40;73,20;(;(;(;16,80;-;2,66;-;-;0,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;яяяя;
58549,00;41,00;3,00;2,80;3,00;0,00;0,00;0,00;0,30;3,50;22,10;60,00;(;(;(;14,10;-;2,66;-;-;0,14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;я;
58550,00;41,00;4,00;4,80;5,00;-;-;-;-;-;-;-;-;-;-;-;1,98;2,74;-;-;0,17;0,20;0,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;я;
58553,00;41,00;4,00;10,80;11,00;-;-;-;-;-;-;-;-;-;-;-;2,04;2,72;-;-;0,11;0,12;0,23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;я;
58555,00;41,00;6,00;14,80;15,00;0,00;0,00;0,00;0,10;8,20;53,30;32,90;(;(;(;5,50;-;2,66;-;-;0,02;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;я;
